LOTE_ID,FECHA_COSECHA,VARIEDAD,FINCA,ESTACION_CONTEO,PESO_NETO_KG,NUM_FRUTOS,CALIBRE,TEMPERATURA_C,CALIDAD_STATUS
B12-001,2025-01-15 08:30:00,Hass,San_Jose,Contadora_01,23.5,150,14,18.5,OK
B12-002,2025-01-16 09:15:20,Fuerte,Santa_Maria,Contadora_02,21.0,160,16,19.2,OK
B12-003,2025-02-10 14:45:10,Hass,Los_Altos,Contadora_03,24.1,145,18,20.1,Rechazado
B12-004,2025-02-28 11:20:00,Pinkerton,El_Mirador,Contadora_01,19.5,170,12,17.8,OK
B12-005,2025-03-05 16:10:30,Hass,La_Esperanza,Contadora_02,22.8,155,14,18.9,Alerta
B12-006,2025-03-12 10:00:00,Bacon,Villa_Nueva,Contadora_04,20.0,165,20,16.5,OK
B12-007,2025-01-20 13:30:45,Reed,San_Jose,Contadora_01,25.0,140,22,21.0,OK
B12-008,2025-02-15 09:45:15,Hass,Santa_Maria,Contadora_03,21.5,158,16,19.5,OK
B12-009,2025-03-20 15:20:10,Fuerte,Los_Altos,Contadora_02,23.0,152,18,18.2,OK
B12-010,2025-01-05 08:10:00,Pinkerton,El_Mirador,Contadora_04,18.8,175,12,17.0,Rechazado
