LOTE_ID,FECHA_COSECHA,VARIEDAD,FINCA,ESTACION_CONTEO,PESO_NETO_KG,NUM_FRUTOS,CALIBRE,TEMPERATURA_C,CALIDAD_STATUS
AGR-001,2025-09-10 07:45:00,Fuerte,AgroNorte,Estacion_2,20.5,165,18,22.5,OK
AGR-002,2025-09-10 09:30:00,Fuerte,AgroNorte,Estacion_2,19.8,170,20,23.1,Alerta
AGR-003,2025-09-10 11:15:00,Fuerte,AgroNorte,Estacion_4,21.0,160,18,21.8,OK
AGR-004,2025-09-10 14:00:00,Fuerte,AgroNorte,Estacion_2,19.5,172,20,24.5,Alerta
AGR-005,2025-09-11 08:20:00,Fuerte,AgroNorte,Estacion_4,20.8,168,18,22.2,OK
AGR-006,2025-09-11 10:40:00,Fuerte,AgroNorte,Estacion_2,20.1,166,20,23.8,Alerta
AGR-007,2025-09-11 13:50:00,Fuerte,AgroNorte,Estacion_4,21.2,162,18,21.5,OK
AGR-008,2025-09-12 09:10:00,Fuerte,AgroNorte,Estacion_2,19.2,175,22,25.1,Rechazado
AGR-009,2025-09-12 12:00:00,Fuerte,AgroNorte,Estacion_4,20.6,164,18,22.9,OK
AGR-010,2025-09-12 15:30:00,Fuerte,AgroNorte,Estacion_2,19.9,169,20,24.0,Alerta
