LOTE_ID,FECHA_COSECHA,VARIEDAD,FINCA,ESTACION_CONTEO,PESO_NETO_KG,NUM_FRUTOS,CALIBRE,TEMPERATURA_C,CALIDAD_STATUS
CMP-001,2025-11-20 14:10:00,Red,La Campiña,Estacion_3,19.5,142,12,28.5,Rechazado
CMP-002,2025-11-20 15:30:00,Red,La Campiña,Estacion_3,18.9,138,12,29.1,Rechazado
CMP-003,2025-11-20 16:45:00,Red,La Campiña,Estacion_4,20.0,145,18,27.8,Alerta
CMP-004,2025-11-21 13:00:00,Red,La Campiña,Estacion_3,19.2,140,12,30.2,Rechazado
CMP-005,2025-11-21 14:20:00,Red,La Campiña,Estacion_4,20.5,148,16,26.5,Alerta
CMP-006,2025-11-21 15:50:00,Red,La Campiña,Estacion_3,18.5,136,12,29.8,Rechazado
CMP-007,2025-11-22 13:30:00,Red,La Campiña,Estacion_4,20.1,144,14,27.2,Alerta
CMP-008,2025-11-22 15:00:00,Red,La Campiña,Estacion_3,19.0,139,12,28.9,Rechazado
CMP-009,2025-11-22 16:15:00,Red,La Campiña,Estacion_3,18.8,135,12,31.0,Rechazado
CMP-010,2025-11-23 14:40:00,Red,La Campiña,Estacion_4,20.3,146,16,26.9,Alerta
