LOTE_ID,FECHA_COSECHA,VARIEDAD,FINCA,ESTACION_CONTEO,PESO_NETO_KG,NUM_FRUTOS,CALIBRE,TEMPERATURA_C,CALIDAD_STATUS
SCL-001,2025-07-20 08:45:00,Fuerte,Santa Clara,Estacion_4,20.2,165,18,23.1,Hallazgo
SCL-002,2025-07-20 10:00:00,Fuerte,Santa Clara,Estacion_4,19.9,170,20,24.2,Hallazgo
SCL-003,2025-07-20 11:30:00,Fuerte,Santa Clara,Estacion_2,21.5,158,18,23.5,Hallazgo
SCL-004,2025-07-20 13:15:00,Fuerte,Santa Clara,Estacion_4,22.1,162,16,20.5,OK
SCL-005,2025-07-20 14:40:00,Fuerte,Santa Clara,Estacion_3,20.8,168,18,23.9,Hallazgo
SCL-006,2025-07-20 16:00:00,Fuerte,Santa Clara,Estacion_2,19.5,172,20,24.8,Hallazgo
SCL-007,2025-07-21 09:10:00,Fuerte,Santa Clara,Estacion_4,21.0,160,18,23.3,Hallazgo
SCL-008,2025-07-21 10:50:00,Fuerte,Santa Clara,Estacion_3,22.5,155,16,28.1,Rechazado
SCL-009,2025-07-21 12:30:00,Fuerte,Santa Clara,Estacion_4,20.6,164,18,24.0,Hallazgo
SCL-010,2025-07-21 14:00:00,Fuerte,Santa Clara,Estacion_2,21.2,159,18,23.6,Hallazgo
