LOTE_ID,FECHA_COSECHA,VARIEDAD,FINCA,ESTACION_CONTEO,PESO_NETO_KG,NUM_FRUTOS,CALIBRE,TEMPERATURA_C,CALIDAD_STATUS
VAL-001,2025-06-15 08:30:00,Hass,Valle del Sol,Estacion_1,22.5,150,14,19.2,OK
VAL-002,2025-06-15 09:45:00,Hass,Valle del Sol,Estacion_1,23.1,155,16,18.5,OK
VAL-003,2025-06-15 11:20:00,Hass,Valle del Sol,Estacion_2,21.8,148,14,20.1,OK
VAL-004,2025-06-15 13:10:00,Hass,Valle del Sol,Estacion_1,22.0,152,16,19.8,OK
VAL-005,2025-06-16 08:15:00,Hass,Valle del Sol,Estacion_3,23.5,160,12,18.9,OK
VAL-006,2025-06-16 10:30:00,Hass,Valle del Sol,Estacion_2,21.2,145,14,19.5,OK
VAL-007,2025-06-16 14:45:00,Hass,Valle del Sol,Estacion_1,22.8,158,16,20.2,OK
VAL-008,2025-06-17 09:00:00,Hass,Valle del Sol,Estacion_3,21.5,149,14,18.7,OK
VAL-009,2025-06-17 11:30:00,Hass,Valle del Sol,Estacion_2,23.0,156,12,19.1,OK
VAL-010,2025-06-17 15:00:00,Hass,Valle del Sol,Estacion_1,22.2,151,16,19.9,OK
