LOTE_ID,FECHA_COSECHA,VARIEDAD,FINCA,ESTACION_CONTEO,PESO_NETO_KG,NUM_FRUTOS,CALIBRE,TEMPERATURA_C,CALIDAD_STATUS
VHS-001,2025-02-15 08:20:00,Reed,Vista Hermosa,Estacion_3,24.5,135,22,23.7,Hallazgo
VHS-002,2025-02-15 09:50:00,Reed,Vista Hermosa,Estacion_3,23.8,140,20,24.4,Hallazgo
VHS-003,2025-02-15 11:20:00,Reed,Vista Hermosa,Estacion_5,25.0,132,22,23.1,Hallazgo
VHS-004,2025-02-15 13:00:00,Reed,Vista Hermosa,Estacion_3,24.1,138,20,18.9,OK
VHS-005,2025-02-15 14:40:00,Reed,Vista Hermosa,Estacion_4,23.5,142,22,24.8,Hallazgo
VHS-006,2025-02-15 16:10:00,Reed,Vista Hermosa,Estacion_3,24.8,136,20,23.5,Hallazgo
VHS-007,2025-02-16 09:00:00,Reed,Vista Hermosa,Estacion_5,23.2,145,22,24.0,Hallazgo
VHS-008,2025-02-16 10:40:00,Reed,Vista Hermosa,Estacion_3,25.2,130,20,28.5,Rechazado
VHS-009,2025-02-16 12:20:00,Reed,Vista Hermosa,Estacion_4,24.0,139,22,23.9,Hallazgo
VHS-010,2025-02-16 14:00:00,Reed,Vista Hermosa,Estacion_3,23.6,141,20,24.2,Hallazgo
